,a,b,sim_score
956,!,"""",0.09936365485191301
1203,!,$,0.072662904858589
181,!,',0.27859628200531
889,!,(,0.107938155531883
732,!,*,0.13002210855484
1113,!,+,0.08235947042703601
984,!,",",0.096859641373157
1051,!,-,0.088224917650222
250,!,.,0.24905627965927102
1071,!,/,0.086409360170364
2119,!,3,0.0013675000518560002
853,!,5,0.11316097527742301
1505,!,8,0.045073371380567
194,!,:,0.272198259830474
396,!,;,0.19415652751922602
809,!,=,0.11946564167737901
184,!,?,0.27775907516479403
1536,!,F,0.042687043547630005
1966,!,H,0.012129476293921
535,!,I,0.16249382495880102
753,!,J,0.12616619467735202
917,!,L,0.10462301969528101
1898,!,P,0.017110552638769
1375,!,T,0.05617767572402901
766,!,V,0.12427608668804101
869,!,X,0.11117664724588301
191,!,Y,0.273855060338974
1906,!,Z,0.016602292656898002
477,!,[,0.173355609178543
1082,!,\,0.08585476875305101
2085,!,b,0.0032583414576940004
2227,!,d,0.0
2226,!,e,0.0
2225,!,f,0.0
2224,!,g,0.0
2223,!,h,0.0
2222,!,i,0.0
2221,!,j,0.0
2287,!,k,0.0
2288,!,l,0.0
2289,!,m,0.0
2290,!,n,0.0
2356,!,o,0.0
2355,!,p,0.0
2354,!,q,0.0
2353,!,r,0.0
2352,!,s,0.0
2351,!,t,0.0
2350,!,u,0.0
2349,!,v,0.0
2348,!,w,0.0
2357,!,x,0.0
2347,!,y,0.0
2345,!,z,0.0
2344,!,{,0.0
2343,!,|,0.0
2342,!,},0.0
2341,!,~,0.0
2361,"""",!,0.0
1182,"""",#,0.075182154774665
920,"""",%,0.103912629187107
25,"""",',0.49731591343879705
1961,"""",(,0.012725387699902
368,"""",*,0.203132435679435
805,"""",+,0.12002317607402802
1929,"""",",",0.014915628358721001
312,"""",-,0.22130392491817402
467,"""",.,0.17491307854652402
1225,"""",/,0.07011738419532701
1280,"""",1,0.06495016813278101
1040,"""",7,0.08952833712100901
453,"""",:,0.17696468532085402
2113,"""",;,0.001593340188264
1999,"""",<,0.009855287149548001
589,"""",=,0.151530861854553
839,"""",C,0.11519665271043701
602,"""",F,0.15024113655090302
2018,"""",G,0.00787441059947
1607,"""",H,0.038016408681869
1173,"""",I,0.076337553560733
1691,"""",K,0.03194136917591
835,"""",M,0.11541202664375301
599,"""",N,0.150699794292449
364,"""",T,0.20629492402076702
1583,"""",U,0.039738282561302005
458,"""",V,0.176104128360748
245,"""",W,0.251974821090698
2036,"""",X,0.005747220478951
1724,"""",Y,0.029772574082016
1272,"""",[,0.06560119241476
1227,"""",\,0.07003763318061801
691,"""",c,0.136751160025596
2340,"""",d,0.0
2339,"""",e,0.0
